drv_splix|2.0.0s|true

Dell 1100|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||1100.ppd
Dell 1110|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||1110.ppd
Samsung CLP-200|0-22;0|0-13;0|0-1;0|0;0|0-1;1|||clp200.ppd
Samsung CLP-300|0-22;0|0-13;0|0-1;0|0,2,1;0|0-1;1|||clp300.ppd
Samsung CLP-310|23-45;0|0-13;0|0-1;0|0,3,2;0|0-1;1|||clp310.ppd
Samsung CLP-310N|0-22;0|0-13;0|0-1;0|0,2,1;0|0-1;1|||clp310n.ppd
Samsung CLP-315|23-45;0|0-13;0|0-1;0|0,3,2;0|0-1;1|||clp315.ppd
Samsung CLP-500|0-22;0|0-13;0|0-4;0|0,3,2;0|0-1;1|0-2;0||clp500.ppd
Samsung CLP-510|0-22;0|0-13;0|0-4;0|0,3,2;0|0-1;1|0-2;0||clp510.ppd
Samsung CLP-550|0-22;0|0-13;0|0-4;0|0,3,2;0|0-1;1|0-2;0||clp550.ppd
Samsung CLP-600|0-22;0|0-13;0|0-1;0|0,3,2;0|0-1;1|||clp600.ppd
Samsung CLX-216X|0-22;0|0-13;0|0-1;0|0,2-3;0|0-1;1|||clx216x.ppd
Samsung CLX-2170|0-22;0|0-13;0|0-1;0|0;0|0-1;1|||clx2170.ppd
Samsung CLX-3160|0-22;0|0-13;0|0-1;0|0,2-3;0|0-1;1|||clx3160.ppd
Toshiba eSTUDIO180S|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||es180s.ppd
Samsung M2020;*M2022|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||m2020.ppd
Samsung M2070|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||m2070.ppd
Samsung M267x 287x;*M2670;*M2870|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||m267x.ppd
Samsung ML-1510|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ml1510.ppd
Samsung ML-1520|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ml1520.ppd
Samsung ML-1610|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ml1610.ppd
Samsung ML-1630|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml1630.ppd
Samsung ML-1640|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml1640.ppd
Samsung ML-1660|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml1660.ppd
Samsung ML-1670;*ML-1671;*ML-1676|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||ml1670.ppd
Samsung ML-1710|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ml1710.ppd
Samsung ML-1740|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ml1740.ppd
Samsung ML-1750|0-22;0|0-13;0|0-1;0|0-1;0|0;0|||ml1750.ppd
Samsung ML-1860;*ML-1861|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||ml1860.ppd
Samsung ML-1865W;*ML-1866W|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||ml1865w.ppd
Samsung ML-1910|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml1910.ppd
Samsung ML-1915|46-49,59-60,53-54,56,55,61,51,62-64,52,65-71;0|0-13;0|0-1;0|0,3;0|0;0|||ml1915.ppd
Samsung ML-191x 252x;*ML-1910;*ML-1911;*ML-1915;*ML-1916;*ML-2520;*ML-2525;*ML-2526|46-58;0|0-13;0|0-1;0|0,2;0|0;0|||ml191x.ppd
Samsung ML-2010|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml2010.ppd
Samsung ML-2015|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml2015.ppd
Samsung ML-2150|0-22;0|0-13;0|0-6;0|0,2,1;0|0;0|0-2;0||ml2150.ppd
Samsung ML-2160|0-22;0|0-13;0|0-1;0|0,2;0|0;0|||ml2160.ppd
Samsung ML-2165|46-49,59-60,53-54,56,55,61,51,62-64,52,65-71;0|0-13;0|0-1;0|0,2;0|0;0|||ml2165.ppd
Samsung ML-2240|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml2240.ppd
Samsung ML-2250|0-22;0|0-13;0|0-6;0|0,2;0|0;0|||ml2250.ppd
Samsung ML-2251|0-22;0|0-13;0|0-6;0|0,2;0|0;0|||ml2251.ppd
Samsung ML-2510|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml2510.ppd
Samsung ML-2525|0-22;0|0-13;0|0-1;0|0,3;0|0;0|||ml2525.ppd
